ID,C_NAME,latitude,longitude,geo_id
5,ВІННИЦЬКА ОБЛ.,49.2290042,28.4531317,vn
7,ВОЛИНСЬКА ОБЛ.,51.16667,24.86667,volyan
9,ЛУГАНСЬКА ОБЛ.,48.5728809,39.3114659,lg
12,ДНІПРОПЕТРОВСЬКА ОБЛ.,48.5,35,dp
13,ЛЬВІВСЬКА ОБЛАСТЬ,49.6512234,23.8266948,lviv
14,ДОНЕЦЬКА ОБЛ.,48.0063975,37.8743431,dn
16,ПОЛТАВСЬКА ОБЛ.,49.47705,33.81866,pl
18,ЖИТОМИРСЬКА ОБЛ.,50.58333,28.5,zt
21,ЗАКАРПАТСЬКА ОБЛ.,48.33333,23,uz
23,ЗАПОРІЗЬКА ОБЛ.,47.8437357,35.137454,zp
26,ІВАНО-ФРАНКІВСЬКА ОБЛ.,48.7,24.61667,if
30,М.КИЇВ,50.4500644,30.5241037,kiev
32,КИЇВСЬКА ОБЛ.,50.25,30.5,kiev
35,КІРОВОГРАДСЬКА ОБЛ.,48.5,32,kr
40,М.СЕВАСТОПОЛЬ,44.5547288,33.4720239,crimea
43,АР КРИМ,45,34,crimea
48,МИКОЛАЇВСЬКА ОБЛ.,47.41667,31.83333,mk
51,ОДЕСЬКА ОБЛ.,46.75,30.25,od
56,РІВНЕНСЬКА ОБЛ.,51,26.5,rv
59,СУМСЬКА ОБЛ.,51,34,sm
61,ТЕРНОПІЛЬСЬКА ОБЛ.,49.4,25.63333,te
63,ХАРКІВСЬКА ОБЛ.,49.5,36.5,kh
65,ХЕРСОНСЬКА ОБЛ.,46.75,33.66667,ks
68,ХМЕЛЬНИЦЬКА ОБЛ.,49.5,27,km
71,ЧЕРКАСЬКА ОБЛ.,49.25,31.33333,ck
74,ЧЕРНІГІВСЬКА ОБЛ.,51.33333,32,cn
77,ЧЕРНІВЕЦЬКА ОБЛ.,48.25,26,cv